floor_area_sqft,num_floors,building_age_years,occupancy_count,hvac_type,insulation_rating,climate_zone,building_type,window_wall_ratio,renewable_pct,led_lighting_pct,co2_kg_year,co2_tons_year,co2_per_sqft
36375.71954464918,11,50.95555165885779,235,Geothermal,Fair,Mixed-Humid,Multi-Family,0.13028422353826621,47.44549324165342,31.518027938018484,94784.04685443024,94.78404685443024,2.6056954485281882
11906.232388249477,3,5.061119216673966,71,Heat Pump,Excellent,Mixed-Humid,Educational,0.14030292663619925,22.573294806270763,48.67527799235144,53530.38677338455,53.53038677338455,4.4959971406416415
3858.9665411346423,3,25.11130015388722,105,Heat Pump,Excellent,Mixed-Humid,Retail,0.22115673020209053,20.72717226782518,44.38544679934096,14354.90327623916,14.35490327623916,3.719882803653028
4100.6700370518365,3,3.6040591719957815,79,Gas Furnace,Fair,Hot-Humid,Multi-Family,0.2832280592500202,18.203966268497464,64.70231990944299,31227.236884914626,31.227236884914625,7.615154743678267
14753.891668859924,2,33.860963095635086,196,Heat Pump,Fair,Mixed-Humid,Healthcare,0.2566397813447677,26.804209419791984,75.40814189243059,267983.3780878695,267.9833780878695,18.16357230367121
19779.386023607894,6,2.2864219596373903,888,Packaged Rooftop,Fair,Mixed-Humid,Multi-Family,0.38014472436809343,34.486788725253476,78.4683740946027,86674.33836248713,86.67433836248713,4.382054036411245
800.0,3,15.495133741556446,15,Electric Baseboard,Fair,Cold,Office,0.22345356932678442,58.83977041530368,85.08975631252608,4320.323200597727,4.320323200597727,5.400404000747159
1001.8930242166367,3,11.972322722341147,21,Heat Pump,Poor,Hot-Dry,Multi-Family,0.05369676863748422,51.49809746144122,81.16472753885924,2483.5071410161445,2.4835071410161444,2.478814684789284
8535.475470801466,7,4.44361565017754,265,Heat Pump,Fair,Mixed-Humid,Retail,0.2195481430504907,16.014006902181617,52.045204934058354,34651.47070222888,34.65147070222888,4.059700109357255
5555.045961234361,5,20.229670684896096,70,Packaged Rooftop,Fair,Cold,Educational,0.4637859267805689,33.05083830890728,87.8426816585675,55725.8515017025,55.7258515017025,10.031573436220484
17400.658633462845,3,18.334369581151186,137,District Steam,Fair,Cold,Hotel,0.227587116553013,26.581957670895388,73.84874364045938,196130.25616719577,196.13025616719577,11.271427151040234
34504.71066475258,20,6.310175967972347,1562,Heat Pump,Excellent,Mixed-Humid,Office,0.06987110807276586,33.63934678354253,94.04411683730751,90984.5656460505,90.9845656460505,2.6368737454446616
811.7869905973331,1,21.598771247554257,6,Packaged Rooftop,Poor,Mixed-Humid,Multi-Family,0.1611179380076922,33.37566748522745,55.67645884651575,5081.661029069092,5.0816610290690925,6.259845363289056
3521.357931397351,3,8.29344610170472,114,Gas Furnace,Fair,Very Cold,Office,0.08497507676739247,15.521063312831506,82.73332928155261,34876.218396502154,34.87621839650215,9.904195789225698
20594.80262960579,19,56.326535667019094,810,Gas Furnace,Fair,Cold,Retail,0.3740405336526199,26.85490716978466,54.29947616491654,209920.52405034573,209.92052405034573,10.192888362453992
13824.233644122849,3,55.22232160059275,363,Geothermal,Good,Hot-Dry,Multi-Family,0.30015894976742674,4.445187975049203,88.52427891033739,56545.87309203141,56.545873092031414,4.090344141143114
2979.601207172515,1,12.943594898094124,105,Gas Furnace,Poor,Hot-Humid,Hotel,0.43291409002190095,25.38918669661702,73.84075334047458,56757.69249155528,56.75769249155528,19.048754697416488
3642.9763303739164,3,20.39404154873764,153,Packaged Rooftop,Good,Cold,Multi-Family,0.3937734236116366,45.72443043204334,89.106919500019,15368.946462153575,15.368946462153575,4.218788448887918
15251.190213956497,6,3.524394923811595,645,District Steam,Poor,Mixed-Humid,Educational,0.1928520651806798,44.75846469467895,67.94000882281533,84365.46564954643,84.36546564954644,5.531729948023522
1959.465937332494,2,30.454304330674766,55,Packaged Rooftop,Fair,Hot-Humid,Office,0.20166245780452802,23.192085202344735,44.32526285774776,17142.889471486895,17.142889471486896,8.748756048714098
6309.896023192087,5,29.94576713254831,314,Gas Furnace,Good,Hot-Dry,Office,0.07980525327042028,57.915684374342824,61.77600571321109,26521.72600967948,26.521726009679483,4.203195411176128
26647.95017299698,16,15.374802732945332,129,Gas Furnace,Excellent,Mixed-Humid,Retail,0.13986419384296972,14.184278813333155,49.39671861219001,147023.70184311198,147.02370184311198,5.517261211036588
